episode,global_step,elapsed_s,adv_reward,good_reward,aloss_leader,aloss_adv,aloss_good,closs_adv,ent_adv,ent_good,kl_adv
3840,192000,1034.1,48.243,-30.328,-0.0020,-0.0005,-0.0013,0.0462,1.3916,1.3989,0.0002
3860,193000,1039.2,41.344,-23.354,-0.0023,-0.0013,-0.0009,0.0303,1.4138,1.3919,-0.0001
3880,194000,1044.4,50.509,-28.286,-0.0023,-0.0006,-0.0014,0.0713,1.3824,1.3868,-0.0001
3900,195000,1049.6,38.855,-20.581,-0.0023,-0.0005,-0.0020,0.0351,1.3989,1.3999,0.0002
3920,196000,1054.8,26.855,-15.856,-0.0015,-0.0004,-0.0015,0.0306,1.4101,1.3959,-0.0000
3940,197000,1060.0,26.201,-20.214,-0.0023,-0.0014,-0.0007,0.0347,1.4015,1.4117,0.0001
3960,198000,1065.2,36.817,-20.741,-0.0021,-0.0011,-0.0010,0.0415,1.4086,1.4246,0.0007
3980,199000,1070.4,27.431,-18.453,-0.0016,-0.0010,-0.0017,0.0512,1.4065,1.3955,0.0004
4000,,,,,,,,,,,
4000,200000,1077.9,29.068,-24.983,-0.0022,-0.0017,-0.0010,0.0449,1.4038,1.3958,0.0003
4020,201000,1083.1,36.746,-23.931,-0.0025,-0.0006,-0.0016,0.0564,1.3542,1.3914,0.0002
4040,202000,1088.3,22.554,-16.573,-0.0022,-0.0007,-0.0016,0.0351,1.3876,1.4017,0.0001
4060,203000,1093.6,22.528,-26.578,-0.0026,-0.0006,-0.0023,0.0317,1.3598,1.3964,0.0003
4080,204000,1098.7,22.433,-24.767,-0.0023,-0.0006,-0.0022,0.0473,1.3430,1.3751,0.0001
4100,205000,1103.9,14.086,-28.002,-0.0030,-0.0007,-0.0018,0.0312,1.3737,1.3588,-0.0000
4120,206000,1109.1,23.068,-20.924,-0.0023,-0.0006,-0.0021,0.0431,1.3884,1.3957,-0.0002
4140,207000,1114.4,30.070,-24.784,-0.0021,-0.0004,-0.0016,0.0436,1.3834,1.4013,0.0001
4160,208000,1119.7,44.740,-24.579,-0.0023,-0.0008,-0.0008,0.0654,1.3985,1.4057,0.0001
4180,209000,1124.9,39.685,-25.592,-0.0022,-0.0006,-0.0011,0.0559,1.3904,1.4031,0.0003
4200,,,,,,,,,,,
4200,210000,1132.5,28.451,-19.299,-0.0021,-0.0010,-0.0008,0.0416,1.3736,1.3919,-0.0000
4220,211000,1137.6,36.242,-26.084,-0.0019,-0.0017,-0.0013,0.0287,1.3881,1.4114,0.0004
4240,212000,1142.7,30.878,-24.990,-0.0022,-0.0014,-0.0011,0.0394,1.3946,1.3987,0.0001
4260,213000,1147.9,33.667,-27.983,-0.0024,-0.0010,-0.0011,0.0561,1.3716,1.4076,0.0002
4280,214000,1153.1,49.918,-32.581,-0.0017,-0.0007,-0.0008,0.0584,1.3612,1.3553,0.0001
4300,215000,1158.3,36.714,-24.632,-0.0034,-0.0011,-0.0019,0.0699,1.3736,1.3544,-0.0004
4320,216000,1163.5,33.414,-20.308,-0.0027,-0.0011,-0.0013,0.0393,1.3970,1.3764,0.0004
4340,217000,1168.7,28.893,-32.963,-0.0018,-0.0006,-0.0016,0.0515,1.3679,1.3623,0.0004
4360,218000,1173.9,36.333,-30.505,-0.0024,-0.0011,-0.0031,0.0460,1.3824,1.3572,-0.0002
4380,219000,1179.2,31.638,-23.530,-0.0021,-0.0013,-0.0020,0.0324,1.3805,1.3561,0.0016
4400,,,,,,,,,,,
4400,220000,1186.7,22.063,-17.803,-0.0036,-0.0010,-0.0010,0.0357,1.4230,1.3731,0.0004
4420,221000,1191.8,34.115,-25.649,-0.0015,-0.0009,-0.0015,0.0513,1.3884,1.3653,0.0007
4440,222000,1196.9,48.517,-30.536,-0.0026,-0.0008,-0.0014,0.0533,1.4196,1.3674,-0.0002
4460,223000,1202.1,56.397,-30.941,-0.0029,-0.0006,-0.0006,0.0922,1.4328,1.3562,-0.0003
4480,224000,1207.3,61.702,-36.043,-0.0019,-0.0006,-0.0020,0.0885,1.4004,1.3602,0.0003
4500,225000,1212.4,42.452,-24.391,-0.0023,-0.0006,-0.0017,0.0456,1.4234,1.3564,-0.0000
4520,226000,1217.6,46.382,-26.654,-0.0024,-0.0008,-0.0013,0.0726,1.3947,1.3441,0.0002
4540,227000,1222.8,35.248,-21.383,-0.0021,-0.0008,-0.0015,0.0478,1.4017,1.3583,0.0005
4560,228000,1227.9,26.931,-22.430,-0.0026,-0.0011,-0.0012,0.0347,1.4169,1.3545,0.0004
4580,229000,1233.0,38.211,-31.385,-0.0017,-0.0007,-0.0008,0.0391,1.3874,1.3629,0.0005
4600,,,,,,,,,,,
4600,230000,1240.4,47.020,-29.662,-0.0024,-0.0006,-0.0009,0.0556,1.3947,1.3609,0.0000
4620,231000,1245.5,57.113,-31.505,-0.0017,-0.0002,-0.0015,0.0943,1.3911,1.3654,-0.0000
4640,232000,1250.6,43.979,-28.273,-0.0027,-0.0011,-0.0015,0.0793,1.3908,1.3910,0.0000
4660,233000,1255.7,39.213,-22.317,-0.0015,-0.0011,-0.0022,0.0357,1.4034,1.3950,0.0004
4680,234000,1260.8,42.737,-23.261,-0.0029,-0.0007,-0.0031,0.0862,1.3832,1.3984,0.0004
